Symbol	Name	Sector	Industry	PE	EPS	DivYield	Shares	DPS	PEG	PtS	PtB
AXU	Alexco Resource Corp	Basic Industries	Precious Metals	0	-0.04	0	92651280	0	0	18.17	2.48
AYT	GEMS Asia 8 ETN Ipath			0	0	0	0	0	0	0	0
BAA	Banro Corp	Basic Industries	Precious Metals	0	-0.216	0	303502200	0	0	0.2301	0.1238
BAB	Build America Bond Powershares			0	2.07	0	0	0	0	0	0
BAL	DJ-UBS Cotton TR Sub-Idx ETN Ipath			0	0	0	0	0	0	0	0
BATS	Bats Global Markets			0	0	0	0	0	0	0	0
BBRC	Egshares Beyond Brics ETF			0	0	0	0	0	0	0	0
BCM	Broad Commodity Pure Beta ETN Ipath			0	0	0	0	0	0	0	0
BCV	Bancroft Convertible Fund	Finance	Closed-End Fund - Debt	0	0.88	6.11	0	1.27	0	0	0
BCV-A	Bancroft Fund Ltd			0	0	0	0	0	0	0	0
BDCL	2X Wells Fargo Bus Dv Cm ETN UBS E-Tracs			0	0	0	0	0	0	0	0
BDCS	Wells Fargo Bus Dev Comp ETN UBS E-Tracs			0	0	0	0	0	0	0	0
BDCZ	Etracs Wells Fargo Business Dev			0	0	0	0	0	0	0	0
BDD	DB Base Metals Dble Long ETN Powershares			0	0	0	0	0	0	0	0
BDL	Flanigan's Enterprises	Consumer Services	Restaurants	15.0901	1.636	0.71	1858033	0.18	0	0.4529	1.5968
BDR	Blonder Tongue Laboratories	Technology	Radio And Television Broadcasting And Communications Equipment	0	-0.43	0	8093334	0	0	0.26	0.85
BEMO	Aptus Behavioral Momentum ETF			0	0	0	0	0	0	0	0
BFOR	Barron's 400			0	0	0	0	0	0	0	0
BFY	Blackrock New York Muni Trust II	Finance	Closed-End Fund - Debt	0	1.83	5.33	0	0.79	0	0	0
BGI	Birks Group Inc Common Stock			12.1	0.14	0	17959540	0	0	0.11	5.02
BGSF	Bg Staffing			17.81	0.76	7.41	8668148	1	0.84	0.46	2.9
BHB	Bar Harbor Bankshares	Finance	Major Banks	17.24	2.6	2.65	6076923	1.12	0	4.52	1.64
BHV	Blackrock Virginia Muni Trust	Finance	Closed-End Fund - Debt	0	1.48	4.73	0	0.76	0	0	0
BIGD	Purefunds ISE Big Data ETF			0	0	0	0	0	0	0	0
BIL	SPDR 1-3 Month T-Bill Barclays Capital			0	0	0	0	0	0	0	0
BIV	Interm-Term Bond ETF Vanguard			0	0	0	0	0	0	0	0
BIZD	Market Vectors Bdc Income ETF			0	0	0	0	0	0	0	0
BJK	Gaming ETF Market Vectors			0	0	0	0	0	0	0	0
BKF	BRIC Index MSCI Ishares			0	0	0	0	0	0	0	0
BKJ	Bancorp of New Jersey Inc	Finance	Major Banks	21.94	0.64	1.76	0	0.24	0	0	0
BKLN	Senior Loan Portfolio Powershares			0	0	0	0	0	0	0	0
BLE	Blackrock Muni Income Trust II	Finance	Closed-End Fund - Debt	0	1.8	5.88	0	0.88	0	0	0
BLHY	Virtus Newfleet Dynamic Credit ETF			0	0	0	0	0	0	0	0
BLJ	Blackrock New Jersey Muni Trust	Finance	Closed-End Fund - Debt	0	1.931	5.68	0	0.83	0	0	0
BLNG	Precious Metals Pure Beta ETN Ipath			0	0	0	0	0	0	0	0
BLV	Long-Term Bond Index ETF Vanguard			0	0	0	0	0	0	0	0
BND	Total Bond Market ETF Vanguard			0	0	0	0	0	0	0	0
BNDC	Flexshares Core Select Bond Fund			0	0	0	0	0	0	0	0
BNDS	SPDR Series Trust			0	0.16	0	0	0	0	0	0
BNO	US Brent Oil			0	0	0	0	0	0	0	0
BOIL	Ultra DJ-UBS Natural Gas Proshares			0	0	0	0	0	0	0	0
BOM	DB Base Metals Dble Short ETN Powershares			0	0	0	0	0	0	0	0
BOND	Total Return ETF Pimco			0	0	0	0	0	0	0	0
BOS	DB Base Metals Short ETN Powershares			0	0	0	0	0	0	0	0
BPMX	Biopharmx Corporatio			0	-0.654	0	67718920	0	0	262.1312	0
BRAQ	G-X Brazil Consumer ETF			0	0	0	0	0	0	0	0
BRAZ	G-X Brazil Midcap ETF			0	0	0	0	0	0	0	0
BRF	Brazil Smallcap ETF Market Vectors			0	0	0	0	0	0	0	0
BRG	Bluerock Residential Growth Rei			0	-0.64	8.82	19566190	1.16	-1.49	3.3	1.41
BRG-A	Bluerock Residential Growth Rei			0	0	0	0	0	0	0	0
BRG-C	Bluerock Residential Growth REIT Inc			0	0	0	0	0	0	0	0
BRG-D	Bluerock Residential Growth REIT Inc			0	0	0	0	0	0	0	0
BRN	Barnwell Industries	Energy	Oil & Gas Production	0	-0.44	0	8277626	0	0	0.9119	0.9622
BRZU	Direxion Daily Brazil Bull 3X S			0	0	0	0	0	0	0	0
BSCH	2017 Corp Bond Bulletshares Guggenheim			0	0	0	0	0	0	0	0
BSCI	2018 Corp Bond Bulletshares Guggenheim			0	0	0	0	0	0	0	0
BSCJ	2019 Corp Bond Bulletshares Guggenheim			0	0	0	0	0	0	0	0
BSCK	2020 Corp Bond Bulletshares Guggenheim			0	0	0	0	0	0	0	0
BSCL	Guggenheim Bulletshares 2021 Co			0	0	0	0	0	0	0	0
BSCM	Guggenheim Bulletshares 2022 Co			0	0	0	0	0	0	0	0
BSCN	Guggenheim Bulletshares 2023 Co			0	0	0	0	0	0	0	0
BSCO	Guggenheim Bulletshares 2024 Co			0	0	0	0	0	0	0	0
BSCP	Guggenheim Bulletshares 2025 Co			0	0	0	0	0	0	0	0
BSCQ	Gb 2026 Corporate Bond ETF			0	0	0	0	0	0	0	0
BSJH	2017 HY C Bd ETF Bulletshares Guggenheim			0	0	0	0	0	0	0	0
BSJI	2018 HY C Bd ETF Bulletshares Guggenheim			0	0	0	0	0	0	0	0
BSJJ	Guggenheim Bulletshares 2019 Hi			0	0	0	0	0	0	0	0
BSJK	Guggenheim Bulletshares 2020 Hi			0	0	0	0	0	0	0	0
BSJL	Guggenheim Bulletshares 2021 Hi			0	0	0	0	0	0	0	0
BSJM	Guggenheim Bulletshares 2022 Hi			0	0	0	0	0	0	0	0
BSJN	Guggenheim Bulletshares 2023 Hi			0	0	0	0	0	0	0	0
BSJO	Gb 2024 High Yld Corp Bd ETF			0	0	0	0	0	0	0	0
BSV	Short-Term Bond ETF Vanguard			0	0	0	0	0	0	0	0
BSWN	UBS Group Ag			0	0	0	0	0	0	0	0
BTAL	US Anti-Beta Fund Market Neutral Quantshares			0	0	0	0	0	0	0	0
BTG	B2Gold Corp			0	-0.1	0	956011700	0	1.27	4.93	2.23
BTI	British American Tobacco Industries	Consumer Non-Durables	Farming/Seeds/Milling	21.68	5.78	3.46	929022000	4.36	1.85	7.01	15.35
BTN	Ballantyne Strong Inc	Miscellaneous	Industrial Machinery/Components	0	-0.11	0	14250000	0	0	1.13	2.28
BTX	Biotime Inc	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	10.95	0.26	0	102770800	0	0	49.09	2.59
BTX.W	Biotime Inc Warrants			0	0	0	0	0	0	0	0
BUZ	Sprott Buzz Social Media Insigh			0	0	0	0	0	0	0	0
BVX	Bovie Medical Corp	Health Care	Medical/Dental Instruments	0	-0.18	0	27142860	0	-2.23	2.56	4.39
BWL.A	Bowl Amer Inc Cl A	Consumer Services	Services-Misc. Amusement & Recreation	0	0	0	0	0	0	0	0
BWV	CBOE S&P 500 Buywrite Index ETN Ipath			0	0	0	0	0	0	0	0
BWX	SPDR Intl Treasury Bond Barclays Capital			0	0	0	0	0	0	0	0
BWZ	SPDR S/T Intl Treasury Bond Barclays Capital			0	0	0	0	0	0	0	0
BYLD	Yield Optimized Bond Ishares			0	0	0	0	0	0	0	0
BZF	Wisdomtree Brazilian Real Fund			0	0	0	0	0	0	0	0
BZM	Blackrock Maryland Muni Trust	Finance	Closed-End Fund - Debt	0	1.623	3.95	0	0.57	0	0	0
BZQ	Ultrashort MSCI Brazil Proshares			0	0	0	0	0	0	0	0
CAFE	Coffee Pure Beta ETN Ipath			0	0	0	0	0	0	0	0
CANE	Teucrium Sugar			0	0	0	0	0	0	0	0
CANF	Can-Fite Biopharma Ltd Sponsore			0	-0.35	0	13380000	0	0	135.86	4.61
CAPE	Barclays ETN Schiller Cape			0	0	0	0	0	0	0	0
CAW	CCA Industries	Consumer Non-Durables	Package Goods/Cosmetics	0	-0.12	0	7006431	0	0	1.02	2.64
CBND	SPDR Issuer Scd Corp Bond Barclays Capital			0	0	0	0	0	0	0	0
CBON	Market Vectors Chinaamc China B			0	0	0	0	0	0	0	0
CCA	MFS California Insured Muni Trust	Finance	Closed-End Fund - Equity	0	1.28	4.82	0	0.56	0	0	0
CCF	Chase Corp	Consumer Durables	Building Products	23.7	3.8	0.78	9227954	0.7	0	3.4	4.69
CEF	Central Fund of Canada	Finance	Closed-End Fund - Equity	0	1.46	0.08	0	0.01	0	0	0
CEFL	Etracs Monthly Pay 2X Leveraged			0	0	0	0	0	0	0	0
CEI	Camber Energy Inc.			0	0	0	18526790	0	0	0	6.2155
CEMB	Emrg Mkts Corporate Bond Fund Ishares			0	0	0	0	0	0	0	0
CET	Central Securities Corp	Finance	Closed-End Fund - Equity	5.09	4.53	6.8	24881130	1.56	0	57.14	0.85
CEV	Eaton Vance California Muni Income Trust	Finance	Closed-End Fund - Debt	0	1.4	4.18	0	0.53	0	0	0
CEW	Wisdomtree Emerging Currency Fund			0	0	0	0	0	0	0	0
CGW	S&P Global Water Index Guggenheim			0	0	0	0	0	0	0	0
CH	Aberdeen Chile Fund	Finance	Closed-End Fund - Foreign	0	0.076	8.93	0	0.56	0	0	0
CHAD	Direxion Daily Csi 300 China A 1X			0	0	0	0	0	0	0	0
CHAU	Direxion Daily Csi 300 China A 2X			0	0	0	0	0	0	0	0
CHEP	US Value Fund Market Neutral ETF Quantshares			0	0	0	0	0	0	0	0
CHIE	G-X China Energy ETF			0	0	0	0	0	0	0	0
CHII	G-X China Industrials ETF			0	0	0	0	0	0	0	0
CHIM	G-X China Materials ETF			0	0	0	0	0	0	0	0
CHIQ	G-X China Consumer ETF			0	0	0	0	0	0	0	0
CHIX	G-X China Financials ETF			0	0	0	0	0	0	0	0
CHOC	Cocoa Pure Beta ETN Ipath			0	0	0	0	0	0	0	0
CIK	Credit Suisse Asset Management	Finance	Closed-End Fund - Debt	0	-0.12	8.2	0	0.26	0	0	0
CIU	Intermediate Credit Bd Ishares			0	0	0	0	0	0	0	0
CIX	Compx International Inc	Capital Goods	Industrial Machinery/Components	21.05	0.74	1.28	12419230	0.2	0	1.78	1.56
CJNK	SPDR Bofa Merrill Lynch Crossov			0	0	0	0	0	0	0	0
CKX	Ckx Lands	Energy	Oil & Gas Production	140.48	0.08	0	1942373	0	0	26.45	1.55
CLAW	Direxion Daily Homebuilders & S			0	0	0	0	0	0	0	0
CLM	Cornerstone Strategic Value Fund	Finance	Closed-End Fund - Equity	0	-0.46	22.79	0	3.4	0	0	0
CLTL	Powershares Treasury Collateral Portfolio			0	0	0	0	0	0	0	0
CLY	10+ Year Credit Bond Ishares			0	0	0	0	0	0	0	0
CLYH	Ishares Interest Rate Hedged 10			0	0	0	0	0	0	0	0
CMBS	CMBS Bond Ishares			0	0	0	0	0	0	0	0
CMDT	DOW Jones-UBS Roll Select Ishares			0	0	0	0	0	0	0	0
CMF	S&P CA Amt-Free Municipal Bd Ishares			0	0	0	0	0	0	0	0
CMT	Core Molding Technologies Inc	Consumer Non-Durables	Plastic Products	15.62	1.01	0	7790875	0	0	0.66	1.18
CN	Db-Xt MSCI All China Eq	Technology	Telecom Services - Foreign	0	0	0	0	0	0	0	0
CNDA	IQ Canada Smallcap ETF			0	0	0	0	0	0	0	0
CNDF	Ishares Edge MSCI Multifactor C			0	0	0	0	0	0	0	0
CNHX	CSOP MSCI China A International			0	0	0	0	0	0	0	0
CNSF	Ishares Edge MSCI Multifactor C			0	0	0	0	0	0	0	0
CNTR	Powershares Contrarian Opportun			0	0	0	0	0	0	0	0
CNXT	Market Vectors Chinaamc Sme-Chn			0	-0.34	0	0	0	0	0	0
CNY	RMB/USD ETN Market Vectors	Finance	Savings & Loans	0	-0.36	0	0	0	0	0	0
CNYA	Ishares MSCI China A ETF			0	0	0	0	0	0	0	0
COBO	USD Covered Bond Proshares			0	0	0	0	0	0	0	0
COPX	G-X Copper Miners ETF			0	0	0	0	0	0	0	0
CORN	Teucrium Corn			0	0	0	0	0	0	0	0
CORP	Investment Grade Corp Bd Index ETF Pimco			0	0	0	0	0	0	0	0
COW	DJ-UBS Livestock TR Sub-Idx ETN Ipath			0	0	0	0	0	0	0	0
COWZ	Pacer US Cash Cows 100 ETF			0	0	0	0	0	0	0	0
CPER	US Copper			0	0	0	0	0	0	0	0
CPHI	China Pharma Holdings	Consumer Durables	Major Pharmaceuticals	0	-0.28	0	43560000	0	0	0.74	0.17
CPI	IQ Real Return ETF	Finance	Property Management	0	0	0	0	0	0	0	0
CQH	Cheniere Energy Partners LP Holdings Llc			309.22	0.08	0.34	231835400	0.08	1.45	269.54	11830
CQP	Cheniere Energy Partners LP	Public Utilities	Oil/Gas Transmission	0	-0.91	5.62	337854900	1.7	0	17.03	28.21
CQQQ	China Technology ETF Guggenheim			0	0	0	0	0	0	0	0
CRAK	Market Vectors Oil Refiners ETF			0	0	0	0	0	0	0	0
CRBN	Ishares MSCI ACWI Low Carbon Ta			0	-0.111	0	0	0	0	0	0
CRED	Core US Credit Bond ETF Ishares			0	0.43	0	0	0	0	0	0
CRF	Cornerstone Strategic Return Fund	Finance	Closed-End Fund - Debt	0	0.402	21.98	0	3.29	0	0	0
CRHM	CRH Medical Corporation Cmn			0	0.1	0	0	0	0	0	0
CRMD	Cormedix Inc	Consumer Durables	Major Pharmaceuticals	0	-0.6	0	40295830	0	0	739.46	3.9
CROC	Ultrashort Australian Proshares			0	-0.01	0	0	0	0	0	0
CROP	IQ Global Agribusiness Smallcap ETF			0	0	0	0	0	0	0	0
CRVP	Crystal Rock Holdings	Consumer Non-Durables	Food Distributors	15	0.06	0	21357140	0	0	0.26	3.35
CSCR	Credit Suisse X-Links Commodity Rotation ETN			0	0	0	0	0	0	0	0
CSD	Guggenheim S&P Spin-Off ETF			0	0	0	0	0	0	0	0
CSJ	1-3 Year Credit Bond Ishares			0	0	0	0	0	0	0	0
CSLS	Long/Short Liquid Idx ETN Credit Suisse			0	0	0	0	0	0	0	0
CSM	Credit Suisse 130/30 Proshares			0	0	0	0	0	0	0	0
CTNN	Cotton Pure Beta ETN Ipath			0	0	0	0	0	0	0	0
CTO	Consolidated-Tomoka Land Co	Finance	Real Estate	18.71	2.85	0.3	5709920	0.16	0	4.28	2.05
CUMB	Virtus Cumberland Municipal Bond ETF			0	0	0	0	0	0	0	0
CUO	Continental Materials Corp	Capital Goods	Building Materials	12.57	2.43	0	1671031	0	0	0.34	0.97
CUPM	Copper Pure Beta ETN Ipath			0	0.01	0	0	0	0	0	0
CURE	Healthcare Bull 3X Direxion			0	0	0	0	0	0	0	0
CUT	Guggenheim MSCI Global Timber ETF			0	0	0	0	0	0	0	0
CVM	Cel-Sci Corp	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	0	-0.094	0	190960000	0	0	83.136	5.326
CVM.W	Cel-Sci Corporation			0	0	0	0	0	0	0	0
CVR	Chicago Rivet & Machine Co	Technology	Industrial Machinery/Components	19.8674	2.211	1.79	965923	0.8	0	1.1141	1.4895
CVRS	Corindus Vascular Robotics Inc			0	-0.257	0	119029700	0	0	19.281	4.568
CVU	CPI Aerostructures	Capital Goods	Military/Government/Technical	0	-0.6	0	8736471	0	0.8	0.83	1.13
CVY	Multi Asset Income Guggenheim			0	0	0	0	0	0	0	0
CWB	SPDR Convertible Secs Barclays Capital			0	2.47	0	0	0	0	0	0
CWEB	Direxion Daily Csi China Internet Idx Bull 2X Sh			0	0	0	0	0	0	0	0
CWI	SPDR MSCI ACWI [Ex-Us]			0	3.06	0	0	0	0	0	0
CWS	Advisorshares Focused Equity ETF			0	0.46	0	0	0	0	0	0
CYB	Wisdomtree Chinese Yuan Fund	Consumer Services	Sporting Goods	0	0	0	0	0	0	0	0
CZA	Midcap Core Guggenheim			0	0	0	0	0	0	0	0
DAG	DB Agriculture Dble Long ETN Powershares			0	0	0	0	0	0	0	0
DBA	Powershares DB Agriculture Fund			0	-1.02	0	0	0	0	0	0
DBAP	Db-Xt MSCI Asia Pacific Ex-Japan Hgd Eq			0	0	0	0	0	0	0	0
DBAU	Db-Xt MSCI Australia Hgd Eq			0	0	0	0	0	0	0	0
DBAW	Db-Xt MSCI All World Ex-US Hgd Eq			0	0	0	0	0	0	0	0
DBB	DB Base Metals Powershares			0	-5.41	0	0	0	0	0	0
DBBR	Db-Xt MSCI Brazil Hgd Eq			0	0	0	0	0	0	0	0
DBC	DB Commodity Index Tracking Powershares	Finance	Closed-End Fund - Equity	0	-0.26	0	0	0	0	0	0
DBE	DB Energy Powershares			0	-1.56	0	0	0	0	0	0
DBEF	Db-Xt MSCI EAFE Hgd Eq			0	0	0	0	0	0	0	0
DBEM	Db-Xt MSCI EM Mkts Hgd Eq			0	0	0	0	0	0	0	0
DBES	Db-Xt MSCI EAFE Smcp Hgd Eq			0	0	0	0	0	0	0	0
DBEU	Db-Xt MSCI Europe Hgd Eq			0	0	0	0	0	0	0	0
DBEZ	Db-Xt MSCI Eurozone Hdg Eq			0	0	0	0	0	0	0	0
DBGR	Db-Xt MSCI Germany Hgd Eq			0	0	0	0	0	0	0	0
DBIF	Db-Xt S&P Hgd Global Infrastruce			0	0	0	0	0	0	0	0
DBIT	Db-Xt MSCI Italy Hgd Eq			0	0	0	0	0	0	0	0
DBJP	Db-Xt MSCI Japan Hgd Eq			0	0	0	0	0	0	0	0
DBKO	Db-Xt MSCI South Korea Hgd Eq			0	0	0	0	0	0	0	0
DBMX	Db-Xt MSCI Mexico Hgd Eq			0	0.031	0	0	0	0	0	0
DBO	DB Oil Powershares			0	-1.87	0	0	0	0	0	0
DBP	DB Precious Metals Powershares			0	2.86	0	0	0	0	0	0
DBRE	Db-Xt DJ Hgd Intl Real Estate			0	0	0	0	0	0	0	0
DBS	DB Silver Powershares			0	0.31	0	0	0	0	0	0
DBSE	Deutsche X-Trackers MSCI Southe			0	0	0	0	0	0	0	0
DBSP	Deutsche X-Trackers MSCI Spain			0	0	0	0	0	0	0	0
DBUK	DB X-Trackers MSCI United Kingdom Hedged Equity			0	0	0	0	0	0	0	0
DBV	DB G10 Currency Harvest Powershares			0	0	0	0	0	0	0	0
DCNG	Seasonal Natural Gas ETN Ipath			0	0	0	0	0	0	0	0
DDEZ	Wisdomtree Dynamic Currency Hed			0	0	0	0	0	0	0	0
DDG	Short Oil & Gas Proshares			0	0	0	0	0	0	0	0
DDJP	Wisdomtree Dynamic Currency Hed			0	0	0	0	0	0	0	0
DDLS	Wisdomtree Dynamic Currency Hed			0	0	0	0	0	0	0	0
DDM	Ultra DOW 30 Proshares			0	0	0	0	0	0	0	0
DDP	DB Commodity Short ETN Powershares			0	0	0	0	0	0	0	0
DDWM	Wisdomtree Dynamic Currency Hed			0	0	0	0	0	0	0	0
DEE	DB Commodity Dble Short ETN Powershares			0	0	0	0	0	0	0	0
DEEF	Deutsche X-Trackers FTSE Develo			0	0	0	0	0	0	0	0
DEF	Defensive Equity Guggenheim			0	0	0	0	0	0	0	0
DEFA	Ishares Adaptive Currency Hedge			0	0	0	0	0	0	0	0
DEM	Emrg Mkts Equity Inc Wisdomtree			0	0	0	0	0	0	0	0
DEMG	Deutsche X-Trackers FTSE Emergi			0	0	0	0	0	0	0	0
DES	Smallcap Dividend Wisdomtree			0	0.07	0	0	0	0	0	0
DESC	Deutsche X-Trackers Russell 200			0	0	0	0	0	0	0	0
DEUS	Deutsche X-Trackers Russell 100			0	0	0	0	0	0	0	0
DEW	Global Equity Income Wisdomtree			0	0	0	0	0	0	0	0
DEWJ	Ishares Adaptive Currency Hedge			0	0	0	0	0	0	0	0
DEZU	Ishares Adaptive Currency Hedge			0	0	0	0	0	0	0	0
DFE	Europe Smallcap Dividend Wisdomtree			0	0	0	0	0	0	0	0
DFJ	Japan Smallcap Dividend Wisdomtree			0	0	0	0	0	0	0	0
DFND	Reality Shares Divcon Dividend			0	0	0	0	0	0	0	0
DGAZ	3X Inverse Natural Gas ETN Velocityshares			0	0	0	0	0	0	0	0
DGL	DB Gold Powershares			0	6.26	0	0	0	0	0	0
DGP	DB Gold Double Long ETN Powershares			0	0	0	0	0	0	0	0
DGRO	Dividend Growth Ishares			0	0	0	0	0	0	0	0
DGS	Emrg Mkts Smallcap Div Wisdomtree			0	0	0	0	0	0	0	0
DGSE	Dgse Companies Inc Common Sto	Consumer Services	Consumer Specialties	0	-0.3	0	12385250	0	0	0.27	12.27
DGT	SPDR Global DOW ETF	Finance	Closed-End Fund - Equity	0	-4.856	0	0	0	0	0	0
DGZ	DB Gold Short ETN Powershares			0	0	0	0	0	0	0	0
DHDG	Wisdomtree Dynamic Currency Hedged Intl Dividend			0	0	0	0	0	0	0	0
DHS	Equity Income Wisdomtree			0	0	0	0	0	0	0	0
DHVW	Diamond Hill Valuation-Weighted			0	0	0	0	0	0	0	0
DHY	Credit Suisse High Yield Bond Fund	Finance	Closed-End Fund - Debt	0	0.28	10.34	0	0.28	0	0	0
DI	Pimco Diversified Income Exchan			0	0	0	0	0	0	0	0
DIA	DOW Industrials SPDR	Finance	Closed-End Fund - Equity	0	3.59	0	0	0	0	0	0
DIG	Ultra Oil & Gas Proshares			0	0	0	0	0	0	0	0
